Year,Inflation expectations,Oil prices
1973,6.59,101.075
1974,9.41,235.2417
1975,7.6,228.2417
1976,5.74,247.067
1977,6.38,263.558
1978,7.39,256.8258
1979,10.2,358.358
1980,12.1,492.833
1981,9.36,449.9258
1982,5.64,375.7417
1983,4.225,333.6917
1984,4.89,307.3508
1985,3.995,293.3833
1986,2.65,150.0917
1987,4.115,190.775
1988,4.51,152.4167
1989,4.725,177.4917
1990,4.9,274.7083
1991,3.96,177.9083
1992,3.285,160.525
1993,3.175,144.2167
1994,2.995,131.6333
1995,3.07,138.0583
1996,3.01,213.1583
1997,2.625,151.8167
1998,2.005,102.25
1999,2.36,129.225
2000,3.03,300.3583
2001,2.645,384.4417
2002,2.075,451.125
2003,2.11,286.675
2004,2.445,377.9417
2005,2.98,315.4417
2006,2.815,281.675
2007,2.66,419.375
